,url,theme,article_length,neg,neu,pos,compound,mean_sentence_compound,alpha_30,alpha_50,alpha_150,alpha_300,alpha_400
24,https://www.theguardian.com/environment/2018/sep/19/tech-giants-fail-to-distance-from-businesseurope-fight-against-eu-climate-targets,environment,524,0.089,0.745,0.166,0.9893,0.261625,0.9789362799,0.9656114452,0.9062923279,0.8347929663,0.7955677806
25,https://www.theguardian.com/environment/2018/sep/18/australias-rank-on-global-development-index-hurt-by-climate-change-inaction,environment,752,0.063,0.799,0.138,0.9951,0.1753464286,0.9902713312,0.9839411117,0.9540156298,0.9138423764,0.8897181817
26,https://www.theguardian.com/environment/2018/sep/19/bipartisan-inquiry-recommends-australia-ban-domestic-ivory-trade,environment,540,0.109,0.834,0.057,-0.9854,-0.2706777778,-0.9714213578,-0.953676237,-0.8775571545,-0.7913009163,-0.7461735846
27,https://www.theguardian.com/environment/2018/sep/19/chris-packham-launches-peoples-manifesto-for-wildlife,environment,660,0.046,0.847,0.107,0.9925,0.2349555556,0.9851662577,0.9756361395,0.9318144943,0.8759102948,0.8437855916
20,https://www.theguardian.com/environment/2018/sep/21/great-barrier-reef-inquiry-officials-refuse-to-answer-questions-over-444m-grant,environment,501,0.065,0.803,0.132,0.9913,0.3298,0.9828231893,0.9718518207,0.9220223413,0.859837072,0.8247506936
21,https://www.theguardian.com/environment/2018/sep/21/gina-rinehart-backed-lakes-oil-loses-bid-to-have-victorian-fracking-ban-overturned,environment,538,0.103,0.798,0.1,-0.6861,-0.0759882353,-0.5548119295,-0.4589368662,-0.285790637,-0.2063417212,-0.1796558794
22,https://www.theguardian.com/environment/2018/sep/21/country-diary-trails-of-the-unexpected-hawthorn-moth-larvae,environment,360,0.032,0.872,0.096,0.9767,0.21095,0.9549562817,0.9281023473,0.8212163061,0.713264645,0.6611814033
23,https://www.theguardian.com/environment/2018/sep/20/eu-must-end-new-petrol-and-diesel-car-sales-by-2030-to-meet-climate-targets-report,environment,547,0.044,0.887,0.069,0.8944,0.1976933333,0.8164552124,0.738497921,0.5344644559,0.4081965857,0.3611098302
28,https://www.theguardian.com/environment/2018/sep/19/microplastics-can-spread-via-flying-insects-research-shows,environment,763,0.065,0.897,0.038,-0.979,-0.1789944444,-0.9592697596,-0.9347277122,-0.8351883471,-0.7318164343,-0.6809982069
29,https://www.theguardian.com/environment/2018/sep/19/uk-large-blue-butterfly-best-summer-record,environment,418,0.039,0.831,0.13,0.9906,0.2852636364,0.9814601921,0.9696582607,0.9164349951,0.8508346595,0.8141951776
1,https://www.theguardian.com/environment/2018/sep/21/un-environment-chief-criticised-by-un-over-frequent-flying-eric-solheim,environment,892,0.072,0.857,0.071,0.3224,-0.0170264706,0.2341365402,0.1833831386,0.1070834926,0.0759374681,0.0658112311
3,https://www.theguardian.com/environment/bike-blog/2018/sep/21/sadiq-khan-says-hes-better-than-boris-on-cycling-but-do-his-claims-add-up,environment,948,0.052,0.843,0.106,0.9959,0.0955769231,0.99185002,0.9865261158,0.9611355235,0.9264764859,0.905350464
2,https://www.theguardian.com/environment/2018/sep/21/lidl-to-stop-using-black-plastic-fruit-and-vegetable-packaging,environment,381,0.034,0.882,0.085,0.9713,0.1445692308,0.9449372169,0.9129100548,0.7906456597,0.6742944456,0.6202718338
5,https://www.theguardian.com/environment/2018/jul/21/defending-earth-violence-murder-activists-land-corruption,environment,1122,0.141,0.748,0.111,-0.9958,-0.1659893617,-0.9916524793,-0.9862022174,-0.9602377573,-0.9248702075,-0.903353371
4,https://www.theguardian.com/environment/2018/sep/03/peruvian-villagers-face-and-intimidation-from-land-traffickers,environment,683,0.092,0.846,0.062,-0.9594,-0.1040037037,-0.923374769,-0.8811033763,-0.7323952716,-0.6053893155,-0.5500885068
7,https://www.theguardian.com/environment/2018/sep/18/forced-labour-in-paraguay-the-darkness-at-the-bottom-of-the-global-supply-chain,environment,1512,0.047,0.894,0.059,0.971,-0.0096324324,0.9443849865,0.9120805235,0.7890317595,0.6722950163,0.6181979002
6,https://www.theguardian.com/environment/2018/sep/19/crucial-antibiotics-still-used-on-us-farms-despite-public-health-fears,environment,1080,0.078,0.863,0.059,-0.9791,-0.0949657143,-0.9594579361,-0.9350179284,-0.8358098215,-0.7326531274,-0.681897397
9,https://www.theguardian.com/environment/2018/sep/03/its-not-if-its-when-the-deadly-pig-disease-spreading-around-the-world,environment,1407,0.067,0.888,0.045,-0.9869,-0.1156439024,-0.9743016995,-0.9582308027,-0.8883223963,-0.8072712078,-0.7641296528
8,https://www.theguardian.com/environment/2018/sep/15/europe-meat-dairy-production-2050-expert-warns,environment,682,0.058,0.87,0.072,0.877,0.1208285714,0.7904844362,0.7070054435,0.4998925267,0.3778716291,0.3332484212
11,https://www.theguardian.com/environment/2018/sep/19/long-hot-summer-means-we-should-enjoy-spectacular-autumn-colour,environment,690,0.04,0.815,0.145,0.9976,0.254495,0.9952171975,0.9920665262,0.9767500504,0.9550498513,0.9413615959
10,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2018/sep/19/shell-and-exxons-secret-1980s-climate-change-warnings,environment,873,0.117,0.802,0.081,-0.9915,-0.16779,-0.9832131293,-0.9724804337,-0.9236353849,-0.8624585387,-0.827838526
13,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2018/sep/17/california-plans-to-show-the-world-how-to-meet-the-paris-climate-target,environment,857,0.027,0.87,0.103,0.9965,0.3383791667,0.9930364946,0.9884741704,0.9665697374,0.936282618,0.9176044965
12,https://www.theguardian.com/environment/2018/sep/17/abandoning-fishing-lockouts-from-sydney-marine-park-is-a-gutless-tragedy,environment,836,0.093,0.797,0.11,0.9541,-0.06626,0.9139907015,0.8676203358,0.7097185158,0.580198834,0.5250457258
15,https://www.theguardian.com/environment/bike-blog/2018/sep/14/fjords-ferries-and-forks-cycling-the-haute-route-norway,environment,847,0.075,0.762,0.163,0.998,0.2461259259,0.9960119522,0.9933796094,0.9805239574,0.962143264,0.9504486042
14,https://www.theguardian.com/environment/commentisfree/2018/sep/16/adanis-rail-line-cut-shows-project-is-on-life-support-but-still-a-threat-to-climate,environment,1004,0.073,0.85,0.078,0.7406,-0.01108125,0.6147144842,0.5168130627,0.3291196466,0.2392929712,0.2087332149
17,https://www.theguardian.com/environment/2018/sep/21/australia-could-launch-legal-challenge-to-japans-scientific-whaling-hunts,environment,792,0.094,0.829,0.077,-0.9704,-0.1054846154,-0.9432818937,-0.9104259292,-0.7858289646,-0.6683434999,-0.6141060574
16,https://www.theguardian.com/environment/bike-blog/2018/sep/13/westminster-councils-actions-show-it-puts-cars-first-not-people,environment,1021,0.039,0.876,0.084,0.9888,0.1150962963,0.9779680825,0.9640642095,0.9024696674,0.8288442927,0.788717973
19,https://www.theguardian.com/environment/2018/sep/20/build-walls-on-seafloor-to-stop-glaciers-melting-scientists-say,environment,670,0.036,0.876,0.088,0.9887,0.2908785714,0.9777746116,0.9637553732,0.9017102337,0.8276686791,0.7873678969
18,https://www.theguardian.com/environment/2018/sep/21/privatizing-the-coast-are-wealthy-californians-seizing-public-beaches,environment,926,0.09,0.799,0.111,0.9752,0.0969961538,0.9521580903,0.9238319339,0.8124227959,0.7018344673,0.6490840155
31,https://www.theguardian.com/environment/2018/sep/17/country-diary-hoy-sea-eagles-orkney-fledge-two-chicks,environment,369,0.067,0.84,0.093,0.7435,0.0735333333,0.6180385046,0.520110082,0.3316794529,0.2412620202,0.2104760576
30,https://www.theguardian.com/environment/2018/sep/18/country-diary-seeing-eye-to-eye-with-the-birds,environment,350,0.005,0.922,0.073,0.9601,0.5006125,0.924624074,0.8829143848,0.7355259474,0.6089338502,0.5536372708
